route,direction,departure_time,arrival_time,is_shuttle,shuttle_start,shuttle_end,valid_from,valid_to,remarks,timetable_type
八王子みなみ野駅,0,08:08:00,08:16:00,0,,,,,,2
八王子みなみ野駅,0,08:35:00,08:43:00,0,,,,,,2
八王子みなみ野駅,0,09:02:00,09:10:00,0,,,,,,2
八王子みなみ野駅,0,09:25:00,09:33:00,0,,,,,,2
八王子みなみ野駅,0,10:17:00,10:25:00,0,,,,,,2
八王子みなみ野駅,0,11:15:00,11:23:00,0,,,,,,2
八王子みなみ野駅,0,12:28:00,12:36:00,0,,,,,,2
八王子みなみ野駅,0,13:08:00,13:16:00,0,,,,,,2
八王子みなみ野駅,0,14:08:00,14:16:00,0,,,,,,2
八王子みなみ野駅,0,15:21:00,15:29:00,0,,,,,,2
八王子みなみ野駅,0,16:21:00,16:29:00,0,,,,,,2
八王子みなみ野駅,0,17:01:00,17:09:00,0,,,,,,2
八王子みなみ野駅,0,17:41:00,17:49:00,0,,,,,,2
八王子みなみ野駅,0,18:11:00,18:19:00,0,,,,,,2
八王子みなみ野駅,0,19:10:00,19:18:00,0,,,,,,2
