route,direction,departure_time,arrival_time,is_shuttle,shuttle_start,shuttle_end,valid_from,valid_to,remarks,timetable_type
hachioji,0,07:48:00,08:00:00,0,,,,,,2
hachioji,0,08:08:00,08:20:00,0,,,,,,2
hachioji,0,08:23:00,08:35:00,0,,,,,,2
hachioji,0,08:38:00,08:50:00,0,,,,,,2
hachioji,0,08:58:00,09:10:00,0,,,,,,2
hachioji,0,09:28:00,09:40:00,0,,,,,,2
hachioji,0,09:58:00,10:10:00,0,,,,,,2
hachioji,0,10:28:00,10:40:00,0,,,,,,2
hachioji,0,11:28:00,11:40:00,0,,,,,,2
hachioji,0,11:58:00,12:10:00,0,,,,,,2
hachioji,0,12:28:00,12:40:00,0,,,,,,2
hachioji,0,12:58:00,13:10:00,0,,,,,,2
hachioji,0,13:28:00,13:40:00,0,,,,,,2
hachioji,0,14:28:00,14:40:00,0,,,,,,2
hachioji,0,15:10:00,15:22:00,0,,,,,,2
hachioji,0,15:40:00,15:52:00,0,,,,,,2
hachioji,0,16:10:00,16:22:00,0,,,,,,2
hachioji,0,16:40:00,16:52:00,0,,,,,,2
hachioji,0,17:10:00,17:22:00,0,,,,,,2
hachioji,0,17:40:00,17:52:00,0,,,,,,2
hachioji,0,18:10:00,18:22:00,0,,,,,,2
hachioji,0,19:10:00,19:22:00,0,,,,,,2
